Category,Year,Statement,TaxonomyA_Categories,TaxonomyA_Explanations,TaxonomyB_Categories,TaxonomyB_Explanations
Prologis__Inc.,2020,Our UK colleagues have done innovative work to measure the Scope 3 embodied carbon of building materials and construction through detailed life-cycle assessments (LCA) of 57 buildings that we’ve designed and constructed in the UK since 2008.,,,3,"This statement acknowledges progress towards past commitments, specifically the innovative work done by UK colleagues to measure Scope 3 embodied carbon."
Prologis__Inc.,2020,"Prologis(cid:1114) roo(cid:517)op solar installations are a brand differentiator and place us third for onsite solar capacity among U.S. companies according to the Solar Energy Industries Association’s (SEIA) 2019 Solar (cid:14)eans (cid:3)usiness report. (cid:10)n (cid:1060)(cid:1058)(cid:1060)(cid:1058), we installed (cid:1062)(cid:1058) (cid:14)(cid:24) of additional capacity for a total of (cid:1060)(cid:1063)(cid:1060) MW globally, enough to power 42,249 average homes.",,,3,"This statement acknowledges progress towards past commitments, specifically the installation of additional solar capacity in 2020."
Prologis__Inc.,2020,Goal: 400 MW of solar capacity across our building portfolio installed by 2025.,3,"This statement refers to a specific numeric target, specifically the goal to install 400 MW of solar capacity across the building portfolio by 2025.",,
Prologis__Inc.,2020,we issued a (cid:1660)(cid:1061)(cid:1065)(cid:1063) million green bond in (cid:14)e(cid:51)ico that broke new ground in attracting local investors sustainability solutions that we can deliver for our customers.,2,This statement refers to a high-level commitment to sustainability through the issuance of a green bond.,3,This statement acknowledges progress in attracting local investors through the issuance of a green bond.
Prologis__Inc.,2020,"We have set a bold agenda, with sustainability at the heart of our business, delivering long-term value to our customers, our company and the planet.",2,This statement refers to a high-level commitment to sustainability as a core part of the business strategy.,,
Prologis__Inc.,2020,"Additionally, when Prologis recast and upsi(cid:53)ed our global line of credit in (cid:1060)(cid:1058)(cid:1059)(cid:1067), we were the first U.S. REIT to launch a sustainability-linked revolver that includes a mechanism that reduces the",2,This statement refers to a high-level commitment to sustainability through the launch of a sustainability-linked revolver.,3,This statement acknowledges progress in launching a sustainability-linked revolver.
Prologis__Inc.,2020,"We know that building a sustainable future is an objective that we share with many of our customers. So, we engage with them in direct dialogue to understand their sustainability aspirations and challenges and then work to overcome these pain points.",2,This statement refers to a high-level commitment to sustainability through engagement with customers.,,
Prologis__Inc.,2020,"In early 2021, we announced a partnership with the Association for Supply Chain Management (ASCM) to create a new industry certificate as part of the global Prologis Community Workforce Initiative.",2,This statement refers to a high-level commitment to create a new industry certificate as part of the Prologis Community Workforce Initiative.,,
Prologis__Inc.,2020,"From the beginning, we have customized CWI to meet the needs and opportunities in our varied markets teaching job skills to high schools students in California, providing logistics-specific training in Illinois; and creating a mock warehouse for students in Florida.",,,3,This statement acknowledges progress on past commitments to customize the Community Workforce Initiative (CWI) to meet the needs and opportunities in various markets.
Prologis__Inc.,2020,"Our workforce development program exemplifies how we are more than just a logistics real estate company. By leveraging our scale and expertise to develop a training platform, we empower new workers to enter the logistics sector, help our customers fill their talent needs and create economic opportunity in our communities.",2,"This statement refers to a high-level commitment to leverage the company's scale and expertise to develop a training platform, empower new workers, help customers fill their talent needs, and create economic opportunity in communities.",,
Prologis__Inc.,2020,"During the COVID-19 pandemic, our commitment to support our customers reinforced our standing as an unwavering partner of choice.",2,This statement refers to a high-level commitment to support customers during the COVID-19 pandemic.,,
Prologis__Inc.,2020,"Our 3Cs strategic blueprint highlights three key areas of focus: customer-centricity, change through innovation and operational excellence and culture and talent.",2,"This statement refers to a high-level commitment to focus on customer-centricity, change through innovation and operational excellence, and culture and talent.",,
Prologis__Inc.,2020,"Inclusion & Diversity (I&D) is the foundation of our human capital program. Our vision is to use our size, scale and deeply held values to lead our company, industry and communities into a more inclusive, diverse and equitable future.",2,"This statement refers to a high-level commitment to make Inclusion & Diversity the foundation of the company's human capital program and to lead the company, industry, and communities into a more inclusive, diverse, and equitable future.",,
Prologis__Inc.,2020,Expand partnerships to include organizations with ties to inclusion and diversity.,2,This is a high-level commitment to expand partnerships with diverse organizations.,,
Prologis__Inc.,2020,"Establish a consistent equitable framework for recruitment, promotion and pay to ensure we hire and develop diverse talent.",2,"This is a high-level commitment to establish an equitable framework for recruitment, promotion, and pay.",,
Prologis__Inc.,2020,Implement inclusion as a key performance indicator (KPI).,2,This is a high-level commitment to implement inclusion as a KPI.,,
Prologis__Inc.,2020,Work with vendors committed to diversity.,2,This is a high-level commitment to work with vendors committed to diversity.,,
Prologis__Inc.,2020,The remaining funds will be allocated after calendar year 2020.,3,This is a specific numeric target for allocating the remaining funds after 2020.,,
Prologis__Inc.,2020,"In 2020, we saw a 500% increase in usage of eLearning from 2019, with 50,000 lessons completed.",,,3,This is an acknowledgement of progress made in increasing the usage of eLearning.
Prologis__Inc.,2020,"Throughout the COVID-19 pandemic, the health and well-being of our employees and their families has been our top priority.",2,This is a high-level commitment to prioritize the health and well-being of employees and their families during the COVID-19 pandemic.,,
Prologis__Inc.,2020,"When the time comes that Prologis employees are able to work and connect more freely in our office buildings, everyone will once again benefit from the traditional focus of our employee wellness efforts.",2,This is a high-level commitment to return to traditional employee wellness efforts when conditions allow.,,
Prologis__Inc.,2020,"In 2020, the COVID-19 pandemic upended life around the world, causing many new humanitarian crises while simultaneously exacerbating existing needs. To respond, we refocused many of our philanthropy existing initiatives to fight the pandemic and expand our impact.",2,This is a high-level commitment to refocus philanthropy initiatives in response to the COVID-19 pandemic.,,
Prologis__Inc.,2020,"From January to year-end 2020, we donated 2.65 million square feet in 63 markets and $9.8 million in in-kind rent, of which 1.63 million square feet and $9.3 million of in-kind rent was allocated for COVID-19 relief efforts. In total this represents an eightfold increase over our 2019 Space for Good donations.",,,3,"This statement acknowledges progress on past commitments, specifically the increase in donations from 2019 to 2020."
Prologis__Inc.,2020,"In 2020, the Foundation designated $1 million to support organizations fighting for racial justice. This contribution augments the important work we are doing to advance inclusion and diversity within our company and beyond.",2,This statement represents a generic/high-level commitment to support organizations fighting for racial justice.,,
Prologis__Inc.,2020,"In early 2020, the Foundation launched a $5 million global relief fund to provide financial support to nonprofits and community-based organizations on the frontlines of the response, partnering first with Feeding America and the European Food Bank Federation to fund 6.3 million meals for people in need.",5,This statement outlines a detailed plan or roadmap for providing financial support to nonprofits and community-based organizations.,,
Prologis__Inc.,2020,"Despite the clear priority demanded by the COVID-19 pandemic in 2020, we also maintained the important support we’ve historically provided to charitable organizations, supporting the educational, environmental and social welfare initiatives of many organizations.",2,This statement represents a generic/high-level commitment to continue supporting charitable organizations.,3,"This statement acknowledges progress on past commitments, specifically the continued support for charitable organizations."
Prologis__Inc.,2020,"Looking forward, we will continue to work with third parties to advance our climate-related scenario analysis and attain more granular detail on the exposure of our assets to physical, natural hazards across our global portfolio. We will also continue to prepare for changes in frequency and severity of extreme weather events and enhance our climate risk reporting practices.",2,This statement refers to a high-level commitment to continue working on climate-related scenario analysis and preparation for changes in weather events.,,
Prologis__Inc.,2020,"Prologis also assesses emerging climate-related transition risks, such as increased disclosure requirements including considerations from regulatory entities like the SEC, future energy use intensity requirements and resulting building retrofit requirements, while also accounting for significant opportunities to deploy additional solar and energy efficiency solutions to our customers.",2,This statement refers to a high-level commitment to assess emerging climate-related transition risks and opportunities to deploy solar and energy efficiency solutions.,,
Prologis__Inc.,2020,"Other relevant efforts include a Task (cid:7)orce on (cid:4)limate-related (cid:7)inancial (cid:5)isclosures (cid:1136)T(cid:4)(cid:7)(cid:5)(cid:1137) aligned disclosure, engagement from our executive team and Board members and a robust program to track our efforts through metrics and targets, including our science-based target for reducing greenhouse gas emissions across our operations and portfolio of assets.","3, 6","This statement refers to a specific numeric target for reducing greenhouse gas emissions. | This statement refers to a commitment to a science-based or external framework, the Task Force on Climate-related Financial Disclosures (TCFD).",,
Prologis__Inc.,2020,Prologis o(cid:514)iciall(cid:52) signed on as a TCFD Supporter.,,,3,"This statement acknowledges progress or achievement of a past commitment, becoming a TCFD Supporter."
